項次,國別,年別,類別,總生育率(人),資料說明,資料來源
1,中華民國,1970,實際,4,-,內政部，人口統計資料庫
2,中華民國,1975,實際,2.77,-,內政部，人口統計資料庫
3,中華民國,1980,實際,2.52,-,內政部，人口統計資料庫
4,中華民國,1985,實際,1.88,-,內政部，人口統計資料庫
5,中華民國,1990,實際,1.81,-,內政部，人口統計資料庫
6,中華民國,1995,實際,1.78,-,內政部，人口統計資料庫
7,中華民國,2000,實際,1.68,-,內政部，人口統計資料庫
8,中華民國,2005,實際,1.12,-,內政部，人口統計資料庫
9,中華民國,2010,實際,0.9,-,內政部，人口統計資料庫
10,中華民國,2015,實際,1.18,-,內政部，人口統計資料庫
11,中華民國,2020,中推估,1,-,國家發展委員會，「中華民國人口推估(2020至2070年)」報告，2020年８月
12,中華民國,2025,中推估,1.01,-,國家發展委員會，「中華民國人口推估(2020至2070年)」報告，2020年８月
13,中華民國,2030,中推估,1.1,-,國家發展委員會，「中華民國人口推估(2020至2070年)」報告，2020年８月
14,中華民國,2035,中推估,1.13,-,國家發展委員會，「中華民國人口推估(2020至2070年)」報告，2020年８月
15,中華民國,2040,中推估,1.19,-,國家發展委員會，「中華民國人口推估(2020至2070年)」報告，2020年８月
16,中華民國,2045,中推估,1.2,-,國家發展委員會，「中華民國人口推估(2020至2070年)」報告，2020年８月
17,中華民國,2050,中推估,1.2,-,國家發展委員會，「中華民國人口推估(2020至2070年)」報告，2020年８月
18,中華民國,2055,中推估,1.2,-,國家發展委員會，「中華民國人口推估(2020至2070年)」報告，2020年８月
19,中華民國,2060,中推估,1.2,-,國家發展委員會，「中華民國人口推估(2020至2070年)」報告，2020年８月
20,中華民國,2065,中推估,1.2,-,國家發展委員會，「中華民國人口推估(2020至2070年)」報告，2020年８月
21,中華民國,2070,中推估,1.2,-,國家發展委員會，「中華民國人口推估(2020至2070年)」報告，2020年８月
22,日本,1970,實際,2.13,-,厚生労働省，人口動態調查，下載於2018年7月
23,日本,1975,實際,1.91,-,厚生労働省，人口動態調查，下載於2018年7月
24,日本,1980,實際,1.75,-,厚生労働省，人口動態調查，下載於2018年7月
25,日本,1985,實際,1.76,-,厚生労働省，人口動態調查，下載於2018年7月
26,日本,1990,實際,1.54,-,厚生労働省，人口動態調查，下載於2018年7月
27,日本,1995,實際,1.42,-,厚生労働省，人口動態調查，下載於2018年7月
28,日本,2000,實際,1.36,-,厚生労働省，人口動態調查，下載於2018年7月
29,日本,2005,實際,1.26,-,厚生労働省，人口動態調查，下載於2018年7月
30,日本,2010,實際,1.39,-,厚生労働省，人口動態調查，下載於2018年7月
31,日本,2015,實際,1.45,-,厚生労働省，人口動態調查，下載於2018年7月
32,日本,2020,中推估,1.43,-,國立社會保障人口問題研究所，「日本の将来推計人口」（平成29年推計）
