"Year","Total","Total/MAN","Total/FEMAN"
"1996",2605374.00,1302249.00,1303125.00
"1997",2598493.00,1295637.00,1302856.00
"1998",2639939.00,1311789.00,1328150.00
"1999",2641312.00,1309434.00,1331878.00
"2000",2646474.00,1309308.00,1337166.00
"2001",2633802.00,1300179.00,1333623.00
"2002",2641856.00,1301458.00,1340398.00
"2003",2627138.00,1291742.00,1335396.00
"2004",2622472.00,1286303.00,1336169.00
"2005",2616375.00,1279513.00,1336862.00
"2006",2632242.00,1282691.00,1349551.00
"2007",2629269.00,1277556.00,1351713.00
"2008",2622923.00,1270948.00,1351975.00
"2009",2607428.00,1260450.00,1346978.00
"2010",2618772.00,1262554.00,1356218.00
"2011",2650968.00,1276343.00,1374625.00
"2012",2673226.00,1285361.00,1387865.00
"2013",2686516.00,1289945.00,1396571.00
"2014",2702315.00,1295636.00,1406679.00
"2015",2704810.00,1295462.00,1409348.00
"2016",2695704.00,1289510.00,1406194.00
"2017",2683257.00,1281917.00,1401340.00
"2018",2668572.00,1273375.00,1395197.00
"2019",2645041.00,1260049.00,1384992.00
"2020",2602418.00,1238618.00,1363800.00

